CONTENT,CLASS,content_lower,content_lower_rn,content_tokenized,content_filter,content_normalized,content_stopwords,content_stemm,content_clean
"Huh, anyway check out this you[tube] channel: kobyoshi02",1,"huh, anyway check out this you[tube] channel: kobyoshi02",huh anyway check out this youtube channel kobyoshi02,"['huh', 'anyway', 'check', 'out', 'this', 'youtube', 'channel', 'kobyoshi02']","['huh', 'anyway', 'check', 'out', 'this', 'youtube', 'channel', 'kobyoshi02']","['huh', 'anyway', 'check', 'out', 'this', 'youtube', 'channel', 'kobyoshi02']","['huh', 'anyway', 'check', 'youtube', 'channel', 'kobyoshi02']","['huh', 'anyway', 'check', 'youtub', 'channel', 'kobyoshi02']","['huh', 'anyway', 'check', 'youtub', 'channel', 'kobyoshi02']"
"Hey guys check out my new channel and our first vid THIS IS US THE  MONKEYS!!! I'm the monkey in the white shirt,please leave a like comment  and please subscribe!!!!",1,"hey guys check out my new channel and our first vid this is us the  monkeys!!! i'm the monkey in the white shirt,please leave a like comment  and please subscribe!!!!",hey guys check out my new channel and our first vid this is us the monkeys i'm the monkey in the white shirt please leave a like comment and please subscribe,"['hey', 'guys', 'check', 'out', 'my', 'new', 'channel', 'and', 'our', 'first', 'vid', 'this', 'is', 'us', 'the', 'monkeys', 'i', ""'m"", 'the', 'monkey', 'in', 'the', 'white', 'shirt', 'please', 'leave', 'a', 'like', 'comment', 'and', 'please', 'subscribe']","['hey', 'guys', 'check', 'out', 'my', 'new', 'channel', 'and', 'our', 'first', 'vid', 'this', 'is', 'us', 'the', 'monkeys', 'i', 'the', 'monkey', 'in', 'the', 'white', 'shirt', 'please', 'leave', 'a', 'like', 'comment', 'and', 'please', 'subscribe']","['hello', 'guys', 'check', 'out', 'my', 'new', 'channel', 'and', 'our', 'first', 'video', 'this', 'is', 'us', 'the', 'monkeys', 'i', 'the', 'monkey', 'in', 'the', 'white', 'shirt', 'please', 'leave', 'a', 'like', 'comment', 'and', 'please', 'subscribe']","['hello', 'guys', 'check', 'new', 'channel', 'first', 'video', 'us', 'monkeys', 'monkey', 'white', 'shirt', 'please', 'leave', 'like', 'comment', 'please', 'subscribe']","['hello', 'guy', 'check', 'new', 'channel', 'first', 'video', 'us', 'monkey', 'monkey', 'white', 'shirt', 'pleas', 'leav', 'like', 'comment', 'pleas', 'subscrib']","['hello', 'guy', 'check', 'new', 'channel', 'first', 'video', 'us', 'monkey', 'monkey', 'white', 'shirt', 'pleas', 'leav', 'like', 'comment', 'pleas', 'subscrib']"
just for test I have to say murdev.com,1,just for test i have to say murdev.com,just for test i have to say url,"['just', 'for', 'test', 'i', 'have', 'to', 'say', 'url']","['just', 'for', 'test', 'i', 'have', 'to', 'say', 'url']","['just', 'for', 'test', 'i', 'have', 'to', 'say', 'url']","['test', 'say', 'url']","['test', 'say', 'url']","['test', 'say', 'url']"
me shaking my sexy ass on my channel enjoy ^_^ ﻿,1,me shaking my sexy ass on my channel enjoy ^_^ ﻿,me shaking my sexy ass on my channel enjoy,"['me', 'shaking', 'my', 'sexy', 'ass', 'on', 'my', 'channel', 'enjoy']","['me', 'shaking', 'my', 'sexy', 'ass', 'on', 'my', 'channel', 'enjoy']","['me', 'shaking', 'my', 'sexy', 'ass', 'on', 'my', 'channel', 'enjoy']","['shaking', 'sexy', 'ass', 'channel', 'enjoy']","['shake', 'sexi', 'ass', 'channel', 'enjoy']","['shake', 'sexi', 'ass', 'channel', 'enjoy']"
watch?v=vtaRGgvGtWQ   Check this out .﻿,1,watch?v=vtarggvgtwq   check this out .﻿,url check this out,"['url', 'check', 'this', 'out']","['url', 'check', 'this', 'out']","['url', 'check', 'this', 'out']","['url', 'check']","['url', 'check']","['url', 'check']"
"Hey, check out my new website!! This site is about kids stuff. kidsmediausa  . com",1,"hey, check out my new website!! this site is about kids stuff. kidsmediausa  . com",hey check out my new website this site is about kids stuff url,"['hey', 'check', 'out', 'my', 'new', 'website', 'this', 'site', 'is', 'about', 'kids', 'stuff', 'url']","['hey', 'check', 'out', 'my', 'new', 'website', 'this', 'site', 'is', 'about', 'kids', 'stuff', 'url']","['hello', 'check', 'out', 'my', 'new', 'website', 'this', 'site', 'is', 'about', 'kids', 'stuff', 'url']","['hello', 'check', 'new', 'website', 'site', 'kids', 'stuff', 'url']","['hello', 'check', 'new', 'websit', 'site', 'kid', 'stuff', 'url']","['hello', 'check', 'new', 'websit', 'site', 'kid', 'stuff', 'url']"
Subscribe to my channel ﻿,1,subscribe to my channel ﻿,subscribe to my channel,"['subscribe', 'to', 'my', 'channel']","['subscribe', 'to', 'my', 'channel']","['subscribe', 'to', 'my', 'channel']","['subscribe', 'channel']","['subscrib', 'channel']","['subscrib', 'channel']"
i turned it on mute as soon is i came on i just wanted to check the  views...﻿,0,i turned it on mute as soon is i came on i just wanted to check the  views...﻿,i turned it on mute as soon is i came on i just wanted to check the views,"['i', 'turned', 'it', 'on', 'mute', 'as', 'soon', 'is', 'i', 'came', 'on', 'i', 'just', 'wanted', 'to', 'check', 'the', 'views']","['i', 'turned', 'it', 'on', 'mute', 'as', 'soon', 'is', 'i', 'came', 'on', 'i', 'just', 'wanted', 'to', 'check', 'the', 'views']","['i', 'turned', 'it', 'on', 'mute', 'as', 'soon', 'is', 'i', 'came', 'on', 'i', 'just', 'wanted', 'to', 'check', 'the', 'views']","['turned', 'mute', 'soon', 'came', 'wanted', 'check', 'views']","['turn', 'mute', 'soon', 'came', 'want', 'check', 'view']","['turn', 'mute', 'soon', 'came', 'want', 'check', 'view']"
You should check my channel for Funny VIDEOS!!﻿,1,you should check my channel for funny videos!!﻿,you should check my channel for funny videos,"['you', 'should', 'check', 'my', 'channel', 'for', 'funny', 'videos']","['you', 'should', 'check', 'my', 'channel', 'for', 'funny', 'videos']","['you', 'should', 'check', 'my', 'channel', 'for', 'funny', 'video']","['check', 'channel', 'funny', 'video']","['check', 'channel', 'funni', 'video']","['check', 'channel', 'funni', 'video']"
and u should.d check my channel and tell me what I should do next!﻿,1,and u should.d check my channel and tell me what i should do next!﻿,and u should d check my channel and tell me what i should do next,"['and', 'u', 'should', 'd', 'check', 'my', 'channel', 'and', 'tell', 'me', 'what', 'i', 'should', 'do', 'next']","['and', 'should', 'check', 'my', 'channel', 'and', 'tell', 'me', 'what', 'i', 'should', 'do', 'next']","['and', 'should', 'check', 'my', 'channel', 'and', 'tell', 'me', 'what', 'i', 'should', 'do', 'next']","['check', 'channel', 'tell', 'next']","['check', 'channel', 'tell', 'next']","['check', 'channel', 'tell', 'next']"
Hey subscribe to me﻿,1,hey subscribe to me﻿,hey subscribe to me,"['hey', 'subscribe', 'to', 'me']","['hey', 'subscribe', 'to', 'me']","['hello', 'subscribe', 'to', 'me']","['hello', 'subscribe']","['hello', 'subscrib']","['hello', 'subscrib']"
